tuman,tuman_id,zona,yil,suv_mln_m3,maydon_ming_ga,mehnat_ming_kishi,kapital_2018_mlrd,ogit_kg_ga,paxta_ulush,gala_ulush,sabzavot_ulush,bog_uzum_ulush,shorlanish_indeks,shorlanish_bazaviy,hisoblagich_qamrov,kanal_fik,deflyator,kurs_som_usd,yalpi_2018narx_mlrd,yalpi_joriy_mlrd,suv_m3_ga,yalpi_real_mln_som_ga,yalpi_mln_som_ga,wp_som_m3,wp_real_som_m3,wp_usd_m3,daromad_usd_ga,suv_sigimi_m3_mln_som,ln_yalpi_2018narx_mlrd,ln_suv_mln_m3,ln_mehnat_ming_kishi,ln_maydon_ming_ga,ln_kapital_2018_mlrd,ln_ogit_kg_ga,t
Вобкент,2,bosh,2014,289.3,22.9,13.34,112.7,274.0,0.431,0.337,0.161,0.071,0.248,0.24,46.3,0.578,44.0,2320,389.5,171.4,12633.187772925765,17.00873362445415,7.48471615720524,592.4645696508815,1346.3532665053579,0.2553726593322765,3226.170757416052,742.7471116816431,5.964863865310803,5.6674642119820895,2.590767040487478,3.131136910560194,4.724729421045731,5.6131281063880705,0
Вобкент,2,bosh,2015,274.8,22.56,13.13,97.5,306.0,0.376,0.326,0.223,0.074,0.221,0.24,53.3,0.586,51.0,2570,437.6,223.2,12180.851063829787,19.397163120567377,9.893617021276595,812.2270742358079,1592.4308588064046,0.3160416631267735,3849.656428512294,627.9707495429616,6.081305251107771,5.616043560348194,2.574899688314705,3.1161784266298582,4.579852378003801,5.723585101952381,1
Вобкент,2,bosh,2016,295.7,23.08,14.04,102.6,296.0,0.392,0.309,0.208,0.091,0.225,0.24,63.4,0.594,59.0,2965,463.6,273.5,12811.958405545927,20.086655112651645,11.850086655112651,924.9239093676023,1567.8052079810618,0.31194735560458764,3996.656544726021,637.8343399482312,6.1390221114655965,5.689345426858432,2.641910398597665,3.138966441639899,4.630837932736669,5.69035945432406,2
Вобкент,2,bosh,2017,275.2,22.66,12.63,108.8,316.0,0.353,0.31,0.23,0.107,0.221,0.24,65.0,0.604,74.0,5120,432.1,319.8,12144.748455428067,19.068843777581645,14.11297440423654,1162.0639534883721,1570.1308139534883,0.2269656159156977,2756.440313327449,636.8896088868318,6.068657042937888,5.617498106059188,2.5360749363624,3.12060125559986,4.689511334421843,5.755742213586912,3
Вобкент,2,bosh,2018,279.2,22.2,13.04,108.2,287.0,0.345,0.29,0.265,0.101,0.21,0.24,73.1,0.615,100.0,8340,471.1,471.1,12576.576576576577,21.22072072072072,21.22072072072072,1687.3209169054442,1687.3209169054442,0.20231665670329066,2544.45092574589,592.655487157716,6.155070385705995,5.631928370888217,2.5680215564985067,3.100092288878234,4.6839813664123815,5.659482215759621,4
Вобкент,2,bosh,2019,272.2,22.5,13.66,118.3,335.0,0.308,0.301,0.257,0.134,0.214,0.24,81.1,0.622,115.2,9500,477.1,549.6,12097.777777777777,21.204444444444444,24.42666666666667,2019.1036002939015,1752.7553269654666,0.2125372210835686,2571.2280701754385,570.5302871515405,6.167726112522061,5.6065370902173655,2.614471854142644,3.1135153092103742,4.773223770984341,5.814130531825066,5
Вобкент,2,bosh,2020,270.6,22.61,11.73,115.3,336.0,0.305,0.286,0.292,0.117,0.213,0.24,87.2,0.63,132.8,10480,492.2,653.6,11968.155683325962,21.76912870411322,28.90756302521008,2415.3732446415374,1818.9209164818922,0.2304745462444215,2758.3552504971453,549.7765136123527,6.198885137956956,5.600641715736688,2.462149662665384,3.1183922862898785,4.747537427275013,5.817111159963204,6
Вобкент,2,bosh,2021,282.2,22.54,11.97,150.6,348.0,0.259,0.243,0.364,0.134,0.19,0.24,95.4,0.641,152.4,10840,557.5,849.7,12519.964507542147,24.733806566104704,37.69742679680568,3010.9851169383414,1975.549255846917,0.277766154699109,3477.6223982293063,506.1883408071749,6.323462503334274,5.642616039418714,2.482403519569882,3.11529150861163,5.014627315365793,5.8522024797744745,7
Вобкент,2,bosh,2022,283.8,22.36,13.73,149.5,336.0,0.263,0.285,0.32,0.132,0.192,0.24,99.0,0.652,175.1,11220,589.4,1032.0,12692.307692307691,26.359570661896242,46.15384615384615,3636.3636363636365,2076.814658210007,0.3240965807810728,4113.533525298231,481.50661689854087,6.379105070303594,5.648269764725942,2.6195832197798796,3.1072736482868986,5.0072963928307415,5.817111159963204,8
Вобкент,2,bosh,2023,281.4,22.39,11.64,158.2,357.0,0.241,0.252,0.338,0.169,0.173,0.24,99.0,0.664,196.3,12340,556.2,1091.8,12568.11076373381,24.841447074586867,48.76284055381866,3879.8862828713577,1976.545842217484,0.31441542000578265,3951.6078244585633,505.933117583603,6.3211279417998645,5.639777144680289,2.454447442303292,3.1086144306106633,5.063860055333554,5.877735781779639,9
Вобкент,2,bosh,2024,281.3,22.86,11.96,192.4,356.0,0.239,0.246,0.347,0.167,0.185,0.24,99.0,0.678,213.9,12780,643.6,1376.8,12305.336832895888,28.15398075240595,60.22747156605424,4894.418769996445,2287.948809100604,0.3829748646319597,4712.63470782897,437.07271597265384,6.467077415118228,5.6394217154958115,2.481567748522486,3.1293886583666644,5.259576538231606,5.87493073085203,10
Ғиждувон,3,bosh,2014,390.3,30.66,17.94,151.6,298.0,0.411,0.322,0.196,0.07,0.213,0.22,47.8,0.578,44.0,2320,592.4,260.6,12729.941291585128,19.321591650358773,8.499673842139597,667.6915193440943,1517.806815270305,0.2877980686827993,3663.652518163619,658.8453747467927,6.384182082393644,5.966915674186569,2.88703285663065,3.422958873443668,5.021245473208271,5.697093486505405,0
Ғиждувон,3,bosh,2015,387.4,30.47,16.89,152.2,301.0,0.4,0.296,0.23,0.074,0.226,0.22,50.6,0.586,51.0,2570,577.1,294.3,12714.145060715458,18.939940925500494,9.658680669510995,759.6799173980382,1489.674754775426,0.29559529859845846,3758.241505646301,671.2874718419685,6.358015561716921,5.959457750972896,2.826721730819709,3.416742592997618,5.025195445427586,5.707110264748875,1
Ғиждувон,3,bosh,2016,361.4,30.64,18.82,163.7,304.0,0.337,0.348,0.225,0.089,0.231,0.22,56.3,0.594,59.0,2965,600.7,354.4,11795.039164490861,19.60509138381201,11.566579634464752,980.6308799114554,1662.147205312673,0.33073554128548244,3901.0386625513497,601.6314299983353,6.3980956418561155,5.889985378158128,2.9349201341572337,3.4223063448723905,5.098035484377089,5.717027701406222,2
Ғиждувон,3,bosh,2017,366.1,30.53,15.7,171.1,309.0,0.376,0.304,0.218,0.101,0.23,0.22,65.9,0.604,74.0,5120,650.9,481.7,11991.483786439567,21.320013101867016,15.777923354077956,1315.7607211144496,1777.929527451516,0.2569845158426659,3081.625655093351,562.4519895529268,6.4783560205783415,5.902906520126191,2.7536607123542622,3.4187098067467865,5.1422481808981475,5.733341276897746,3
Ғиждувон,3,bosh,2018,383.8,31.83,18.54,225.6,318.0,0.354,0.27,0.27,0.106,0.22,0.22,67.7,0.615,100.0,8340,643.5,643.5,12057.807100219918,20.216776625824693,20.216776625824693,1676.6545075560189,1676.6545075560189,0.20103771073813176,2424.073935950203,596.4257964257964,6.466922027036182,5.950121583573599,2.919930560137709,3.4604092412940015,5.418763519623904,5.762051382780177,4
Ғиждувон,3,bosh,2019,354.4,31.12,17.21,219.4,341.0,0.325,0.288,0.255,0.132,0.177,0.22,75.0,0.622,115.2,9500,740.6,853.1,11388.174807197944,23.798200514138816,27.41323907455013,2407.1670428893904,2089.729119638826,0.2533860045146727,2885.60411311054,478.5309208749662,6.607460668479512,5.870426218730926,2.845490610223448,3.4378506993101907,5.3908965478411295,5.831882477283517,5
Ғиждувон,3,bosh,2020,372.6,30.82,18.28,246.3,350.0,0.287,0.241,0.341,0.132,0.223,0.22,81.1,0.63,132.8,10480,756.4,1004.4,12089.55223880597,24.542504866969498,32.58922777417261,2695.6521739130435,2030.0590445517983,0.2572187188848324,3109.659138756929,492.5965097831835,6.6285703367843025,5.920505458167488,2.905807566026004,3.42816382989197,5.506550305126492,5.857933154483459,6
Ғиждувон,3,bosh,2021,353.5,30.3,17.65,279.6,362.0,0.323,0.25,0.309,0.119,0.238,0.22,84.6,0.641,152.4,10840,741.0,1129.2,11666.666666666666,24.455445544554458,37.26732673267327,3194.342291371994,2096.1810466760962,0.29468102318929834,3437.9452705418144,477.05802968960865,6.608000625296087,5.867883485336628,2.8707357833793057,3.4111477125153233,5.633360010359655,5.8916442118257715,7
Ғиждувон,3,bosh,2022,329.4,30.76,18.38,264.2,329.0,0.25,0.249,0.358,0.144,0.225,0.22,87.2,0.652,175.1,11220,800.9,1402.4,10708.712613784135,26.0370611183355,45.59167750325098,4257.437765634487,2431.390406800243,0.3794507812508455,4063.429367491174,411.2873017854913,6.685736095329637,5.79727281774354,2.911263116927541,3.4262151446374434,5.576706392088225,5.796057750765372,8
Ғиждувон,3,bosh,2023,359.1,31.48,21.59,334.9,339.0,0.231,0.239,0.366,0.165,0.206,0.22,95.8,0.664,196.3,12340,866.6,1701.1,11407.242693773826,27.52858958068615,54.03748411689962,4737.120579225842,2413.2553606237816,0.3838833532597927,4379.050576734167,414.37802907915994,6.764577509305809,5.883600901232037,3.072230244526716,3.4493524235492026,5.813831979800159,5.82600010738045,9
Ғиждувон,3,bosh,2024,395.4,32.47,19.18,336.6,379.0,0.245,0.249,0.34,0.166,0.2,0.22,99.0,0.678,213.9,12780,937.9,2006.3,12177.39451801663,28.88512473052048,61.78934400985525,5074.102175012646,2372.02832574608,0.3970345989837751,4834.846949127954,421.58012581298647,6.843643333514893,5.979897910736517,2.953868069455292,3.4803165861147547,5.8188952817567055,5.937536205082426,10
Жондор,4,orta,2014,519.1,34.68,23.94,167.8,257.0,0.386,0.324,0.222,0.068,0.353,0.36,51.7,0.578,44.0,2320,565.2,248.7,14968.281430219147,16.29757785467128,7.171280276816609,479.09843960701215,1088.8075515314968,0.20650794810647075,3091.0690848347454,918.4359518754424,6.337179650810373,6.252096542833184,3.1755507001298273,3.546163151912341,5.122772794033106,5.54907608489522,0
Жондор,4,orta,2015,506.7,33.0,21.45,157.8,265.0,0.391,0.317,0.207,0.085,0.339,0.36,54.5,0.586,51.0,2570,612.7,312.5,15354.545454545454,18.566666666666666,9.469696969696969,616.7357410696665,1209.196763370831,0.23997499652516205,3684.7069920999884,826.9952668516403,6.417875419731609,6.227919112481864,3.065724645374026,3.4965075614664802,5.061328408411774,5.579729825986222,1
